"gene","pathway","cor","pvalue","p_adj"
"PEX11A","Adiponectin_activated_signaling_pathway",0.714674485585359,1.23252418360285e-112,1.06176444493406e-107
"NKX6-2","Axon_ensheathment_in_central_nervous_system",0.714599328608172,1.33285769997321e-112,1.13623689234201e-107
"ECHS1","Neutral_lipid_metabolic_process",0.71455332437177,1.39824380967549e-112,1.1796889325482e-107
"TMEM132C","Adiponectin_activated_signaling_pathway",0.714430586388936,1.5887449333911e-112,1.32673576576627e-107
"MGST1","Adiponectin_activated_signaling_pathway",0.714378834806597,1.67661923553309e-112,1.38597559749865e-107
"CLPTM1L","Maintenance_of_protein_location_in_mitochondrion",0.714366604185301,1.69808418620822e-112,1.38968238151955e-107
"PEX11A","Neutral_lipid_metabolic_process",0.714093598641855,2.25530126511485e-112,1.81718952679896e-107
"CRLS1","Adiponectin_activated_signaling_pathway",0.71408952146262,2.26487408679309e-112,1.81718952679896e-107
"COX5A","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.71396330089469,2.58211138752521e-112,2.05160657534112e-107
"B4GALNT4","Axon_ensheathment_in_central_nervous_system",0.713438965154509,4.44776807223097e-112,3.499976494589e-107
"MTARC1","Glucose_import_in_response_to_insulin_stimulus",0.713214566569157,5.61114302747569e-112,4.37339167493631e-107
"GPT2","Neutral_lipid_metabolic_process",0.713148382339698,6.00889988680607e-112,4.63922501095667e-107
"COX7B","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.712648121734165,1.00772512222816e-111,7.70751967141949e-107
"XKR4","Axon_ensheathment_in_central_nervous_system",0.712563816089982,1.09935024996791e-111,8.3304537587441e-107
"MTHFD1","Adiponectin_activated_signaling_pathway",0.712539484589382,1.12730461192386e-111,8.46391161988789e-107
"TALDO1","Neutral_lipid_metabolic_process",0.712396141113588,1.30696422611547e-111,9.72360591617224e-107
"PGD","Glucose_6_phosphate_metabolic_process",0.71220407700632,1.59313519903425e-111,1.17458915948076e-106
"PGD","Adiponectin_activated_signaling_pathway",0.71160810148085,2.94189007453637e-111,2.14963513743238e-106
"SHMT1","Adiponectin_activated_signaling_pathway",0.711571200122617,3.05560575566335e-111,2.21296838702138e-106
"COX6B1","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.711337915287715,3.8829656984708e-111,2.78750103134103e-106
"TKT","Neutral_lipid_metabolic_process",0.711260963215267,4.20211946075629e-111,2.98950724112307e-106
"UQCR10","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.711252812535131,4.23741758860039e-111,2.98950724112307e-106
"CCDC69","Adiponectin_activated_signaling_pathway",0.711026524578905,5.34454057079034e-111,3.73835766980754e-106
"ATP5F1E","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.711008218053924,5.44579759662797e-111,3.77690292510372e-106
"NKAIN3","Axon_ensheathment_in_central_nervous_system",0.710613565251712,8.15884461875763e-111,5.61097113967262e-106
"NRXN1","Axon_ensheathment_in_central_nervous_system",0.710509124222786,9.07906869970901e-111,6.19179245011634e-106
"GUCD1","Adiponectin_activated_signaling_pathway",0.710178868382817,1.27252960298897e-110,8.60674345304235e-106
"FITM2","Neutral_lipid_metabolic_process",0.709753598285382,1.96415069448113e-110,1.31756275059525e-105
"TYRO3","Neutral_lipid_metabolic_process",0.709665798996375,2.14808036373821e-110,1.42922876282681e-105
"MTHFD1","Neutral_lipid_metabolic_process",0.708786827295776,5.25340778982544e-110,3.46717500044905e-105
"COX6A1","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.708380298293711,7.93566433875002e-110,5.19552705656567e-105
"AGPAT3","Neutral_lipid_metabolic_process",0.708241757948504,9.13192218211401e-110,5.93127405174914e-105
"MPZ","Axon_ensheathment_in_central_nervous_system",0.707454384775026,2.02510037234495e-109,1.30496590981936e-104
"CD99L2","Glucose_import_in_response_to_insulin_stimulus",0.707361130186282,2.22502977789777e-109,1.42259799391439e-104
"FOXD3","Axon_ensheathment_in_central_nervous_system",0.707069325884859,2.98661155059114e-109,1.89472141651291e-104
"HSD17B4","Adiponectin_activated_signaling_pathway",0.7070099102758,3.17095490917707e-109,1.99619538919969e-104
"UQCRFS1","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.706840966045106,3.75937592982263e-109,2.34855532205196e-104
"TBC1D16","Glucose_import_in_response_to_insulin_stimulus",0.706660774995656,4.50717622371685e-109,2.79438950447421e-104
"GYG2","Neutral_lipid_metabolic_process",0.706571991609033,4.92836782536764e-109,3.03254885852927e-104
"PEX11A","Glucose_import_in_response_to_insulin_stimulus",0.706530808057243,5.13683349523319e-109,3.13723480441245e-104
"ABHD15","Adiponectin_activated_signaling_pathway",0.706478093057635,5.41653033996685e-109,3.28355084514661e-104
"TMBIM1","Maintenance_of_protein_location_in_mitochondrion",0.706131615805223,7.67243755348229e-109,4.61690340155347e-104
"UQCRQ","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.706042964288697,8.38663531943082e-109,5.00983618927306e-104
"MAL","Axon_ensheathment_in_central_nervous_system",0.705241217399036,1.87289853386327e-108,1.11068651042707e-103
"RETSAT","Glucose_import_in_response_to_insulin_stimulus",0.705132543990184,2.08794477282487e-108,1.22930752737147e-103
"INPP5K","Adiponectin_activated_signaling_pathway",0.705101260344796,2.15428798543141e-108,1.25930827659808e-103
"ADIPOQ","Neutral_lipid_metabolic_process",0.704876128540232,2.69782151638205e-108,1.56543566219848e-103
"ACAA2","Neutral_lipid_metabolic_process",0.704869318873525,2.71623432847336e-108,1.56543566219848e-103
"PTGER3","Adiponectin_activated_signaling_pathway",0.704844744178839,2.78372917840002e-108,1.59311555548388e-103
"RBP4","Neutral_lipid_metabolic_process",0.704755292629661,3.04382023976567e-108,1.71793739128967e-103
"MRPS15","Mitochondrial_respirasome_assembly",0.704760222519316,3.02887576111017e-108,1.71793739128967e-103
"ACO2","Glucose_import_in_response_to_insulin_stimulus",0.704734633509757,3.1072490473245e-108,1.74172482429592e-103
"PXMP2","Glucose_import_in_response_to_insulin_stimulus",0.70467695895839,3.29137664590517e-108,1.83238438633843e-103
"FA2H","Axon_ensheathment_in_central_nervous_system",0.704633631096269,3.4368131287774e-108,1.90042413537951e-103
"CABLES1","Glucose_import_in_response_to_insulin_stimulus",0.70458439729366,3.60985482799739e-108,1.98271276427757e-103
"TLN2","Adiponectin_activated_signaling_pathway",0.704381274556472,4.42037826923772e-108,2.4117068126163e-103
"AIFM2","Glucose_import_in_response_to_insulin_stimulus",0.704169749593299,5.45742961157029e-108,2.95779131727876e-103
"CDH7","Axon_ensheathment_in_central_nervous_system",0.704158361283987,5.51967687321943e-108,2.97184668335362e-103
"MCCC1","Glucose_import_in_response_to_insulin_stimulus",0.704005499485352,6.4269432386952e-108,3.43771102943887e-103
"ZDHHC3","Glucose_import_in_response_to_insulin_stimulus",0.703882495471571,7.26365540156843e-108,3.86003147186628e-103
"NDUFAB1","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.703171357524681,1.47198833340621e-107,7.77193220815357e-103
"MLX","Adiponectin_activated_signaling_pathway",0.702968517865768,1.79983000165842e-107,9.44198318161679e-103
"CCDC69","Glucose_import_in_response_to_insulin_stimulus",0.702662985692611,2.43573451148453e-107,1.26965764257642e-102
"PC","Adiponectin_activated_signaling_pathway",0.702551492933238,2.71980085735381e-107,1.40875786401478e-102
"SLITRK5","Axon_ensheathment_in_central_nervous_system",0.702171241010144,3.96058009166049e-107,2.03853423702097e-102
"UQCR10","Mitochondrial_respirasome_assembly",0.702159118843771,4.00827878857388e-107,2.05019075980629e-102
"KIF1C","Glucose_import_in_response_to_insulin_stimulus",0.702132583811084,4.11469555208785e-107,2.09154958550095e-102
"PTGER3","Neutral_lipid_metabolic_process",0.702080457529652,4.33200401279928e-107,2.17662142027208e-102
"TMEM164","Neutral_lipid_metabolic_process",0.702079698752217,4.3352502222903e-107,2.17662142027208e-102
"NDUFAB1","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.702063130082477,4.40674152732598e-107,2.19902448047979e-102
"SOX2-OT","Axon_ensheathment_in_central_nervous_system",0.702051439726207,4.45788883161491e-107,2.21106557984187e-102
"BANK1","Neutral_lipid_metabolic_process",0.701834853349821,5.51995432733218e-107,2.72134579655899e-102
"ATP5PD","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.701591798079626,7.01428584763417e-107,3.43734657946196e-102
"PSMD8","Adiponectin_activated_signaling_pathway",0.701440462365978,8.1416870573604e-107,3.96607988584539e-102
"TMEM120A","Glucose_import_in_response_to_insulin_stimulus",0.701053781970106,1.1910328091608e-106,5.76757637836117e-102
"POLDIP2","Maintenance_of_protein_location_in_mitochondrion",0.701011252688442,1.24187559450228e-106,5.97840737481038e-102
"PRKAR2B","Glucose_import_in_response_to_insulin_stimulus",0.700917141196244,1.36219653364642e-106,6.51928540758415e-102
"HADH","Glucose_import_in_response_to_insulin_stimulus",0.700751415108128,1.60296607975691e-106,7.62697318468989e-102
"SLC35C1","Adiponectin_activated_signaling_pathway",0.700702115231671,1.68244938192479e-106,7.95888515204086e-102
"LIPE","Neutral_lipid_metabolic_process",0.700666875716652,1.74165758606767e-106,8.19162120362081e-102
"ATP6V0E1","Mitochondrial_respirasome_assembly",0.700491417636035,2.0688002234028e-106,9.67468513616537e-102
"INPP5K","Glucose_import_in_response_to_insulin_stimulus",0.700056770987495,3.1671527605715e-106,1.47269454209e-101
"STAT5A","Neutral_lipid_metabolic_process",0.699462902200384,5.66018730737179e-106,2.61706115201988e-101
"EPB41L4B","Adiponectin_activated_signaling_pathway",0.698774655813855,1.10735743885518e-105,5.09124690563989e-101
"SDHB","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.698553725571703,1.3729991500676e-105,6.27730992698437e-101
"TRARG1","Glucose_import_in_response_to_insulin_stimulus",0.698516398758682,1.42376741000559e-105,6.47325740232722e-101
"ATP5MG","Mitochondrial_respirasome_assembly",0.69850017221881,1.44641599811265e-105,6.53989801422887e-101
"MRPS33","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.698349345619424,1.67486966657741e-105,7.53123090608674e-101
"PJA1","Glucose_import_in_response_to_insulin_stimulus",0.698210250011604,1.917255461088e-105,8.57403452122323e-101
"CYB5A","Adiponectin_activated_signaling_pathway",0.698142416526775,2.0478291951067e-105,9.1081933492631e-101
"TTC38","Adiponectin_activated_signaling_pathway",0.698091034673982,2.15259554035031e-105,9.52241362054451e-101
"ATP5PD","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.698008760334105,2.33157546536221e-105,1.02587126789344e-100
"MYH14","Neutral_lipid_metabolic_process",0.697494468087591,3.83891320957317e-105,1.68005314959011e-100
"PGD","Maintenance_of_protein_location_in_mitochondrion",0.697478182586663,3.89994315791393e-105,1.69768363374016e-100
"NOS1","Axon_ensheathment_in_central_nervous_system",0.69712830388924,5.47157335206902e-105,2.36922744910033e-100
"MAG","Axon_ensheathment_in_central_nervous_system",0.697092442291443,5.66464655727336e-105,2.43991979534619e-100
"GPR37L1","Axon_ensheathment_in_central_nervous_system",0.696959438823485,6.44184123826872e-105,2.76015190428139e-100
"PFKFB3","Adiponectin_activated_signaling_pathway",0.69694188810556,6.55202918600193e-105,2.7927427215173e-100
"TEX2","Adiponectin_activated_signaling_pathway",0.696836432531448,7.25475725900153e-105,3.07625201166571e-100
"JAGN1","Adiponectin_activated_signaling_pathway",0.69679437059213,7.55554602938935e-105,3.18728177752409e-100
"ACO1","Adiponectin_activated_signaling_pathway",0.696516370373525,9.88090011982768e-105,4.14684909862301e-100
"ATP5PF","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.696440610299788,1.06299201293389e-104,4.43843908686159e-100
"ALDH1L1-AS2","Adiponectin_activated_signaling_pathway",0.696193989543306,1.34822644094958e-104,5.60083718431685e-100
"SLC7A6","Adiponectin_activated_signaling_pathway",0.695876006386826,1.8311002982144e-104,7.56838605961338e-100
"MAOA","Adiponectin_activated_signaling_pathway",0.6955187325819,2.58155221349794e-104,1.06165686148893e-99
"VKORC1L1","Glucose_import_in_response_to_insulin_stimulus",0.695433065011099,2.80295503927215e-104,1.14694467621357e-99
"PTPRF","Neutral_lipid_metabolic_process",0.695424229299256,2.82683933996763e-104,1.15096310753286e-99
"COX7A2","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.695325850450145,3.10685970680002e-104,1.25871268019815e-99
"C19orf12","Adiponectin_activated_signaling_pathway",0.69527066932294,3.27584201153043e-104,1.32063634236517e-99
"BCAP31","Maintenance_of_protein_location_in_mitochondrion",0.694922756084895,4.57324242498303e-104,1.83463802395278e-99
"LDHB","Neutral_lipid_metabolic_process",0.694577500497818,6.36522135032093e-104,2.54106622523367e-99
"ABCD1","Glucose_import_in_response_to_insulin_stimulus",0.694391607233847,7.60397534543847e-104,3.0208545403584e-99
"TLN2","Glucose_import_in_response_to_insulin_stimulus",0.694285178604453,8.41838248823663e-104,3.3282400515359e-99
"MRPS7","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.694262526577012,8.60262558268269e-104,3.38472991871145e-99
"TBC1D16","Adiponectin_activated_signaling_pathway",0.694244907466287,8.74870409817245e-104,3.42573508690077e-99
"BOK","Glucose_import_in_response_to_insulin_stimulus",0.694103937316463,1.00099860605695e-103,3.88246323090713e-99
"COX4I1","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.694104856648994,1.00012007188945e-103,3.88246323090713e-99
"CNTFR","Glucose_import_in_response_to_insulin_stimulus",0.693900942146915,1.2150619273766e-103,4.69049725368527e-99
"MRAP","Glucose_import_in_response_to_insulin_stimulus",0.693785868983843,1.35605827932819e-103,5.18586151767431e-99
"NDUFA2","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.693787898405144,1.35343583192025e-103,5.18586151767431e-99
"GPX1","Neutral_lipid_metabolic_process",0.693607309703925,1.60775110117561e-103,6.11979239794346e-99
"RTN3","Glucose_import_in_response_to_insulin_stimulus",0.69355984838108,1.68214403586514e-103,6.37332056218241e-99
"UQCR11","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.693287955215851,2.17934867122035e-103,8.21908209182023e-99
"DCXR","Adiponectin_activated_signaling_pathway",0.693056709346684,2.71567976233003e-103,1.01947926288764e-98
"UGT8","Axon_ensheathment_in_central_nervous_system",0.69283488523651,3.35314357388282e-103,1.25303836568637e-98
"TRARG1","Neutral_lipid_metabolic_process",0.692615489932456,4.12991582321616e-103,1.53629583463327e-98
"CYB5A","Neutral_lipid_metabolic_process",0.692482184906715,4.6868689007637e-103,1.73558890867839e-98
"DRP2","Axon_ensheathment_in_central_nervous_system",0.692468327121272,4.74889496575527e-103,1.75063627671721e-98
"ATP9A","Glucose_import_in_response_to_insulin_stimulus",0.692322721917962,5.4521275057409e-103,2.00086355985067e-98
"MPST","Glucose_import_in_response_to_insulin_stimulus",0.692122904277441,6.58886875750455e-103,2.40723878836539e-98
"COX5B","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.691951567797694,7.74960063949161e-103,2.81872779793277e-98
"MMD","Neutral_lipid_metabolic_process",0.691614825100699,1.06569601292879e-102,3.85905737743669e-98
"MCCC1","Neutral_lipid_metabolic_process",0.691417807823091,1.28378267063327e-102,4.62830516057064e-98
"MEGF8","Glucose_import_in_response_to_insulin_stimulus",0.691030567473618,1.85024744416499e-102,6.64127249550155e-98
"PLAAT3","Neutral_lipid_metabolic_process",0.690586635249156,2.81124557156311e-102,1.00466121352391e-97
"PEX19","Neutral_lipid_metabolic_process",0.690532210613297,2.95902179599277e-102,1.05287463259089e-97
"SYTL2","Adiponectin_activated_signaling_pathway",-0.690473752240274,3.12637505819228e-102,1.10760633595716e-97
"MRPS15","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.690343377721391,3.53432761132957e-102,1.24673787343919e-97
"COX7A2","Mitochondrial_respirasome_assembly",0.690316068616218,3.62627391799142e-102,1.27368202347237e-97
"PTPRF","Glucose_import_in_response_to_insulin_stimulus",0.690302791817872,3.67183175647766e-102,1.28417215916478e-97
"LINC00598","Adiponectin_activated_signaling_pathway",0.690111746043467,4.39412360079427e-102,1.53024419477745e-97
"RNF157","Adiponectin_activated_signaling_pathway",0.689695922563087,6.49249595712275e-102,2.25141740365678e-97
"NR2F2-AS1","Adiponectin_activated_signaling_pathway",-0.68953259707307,7.56700821055093e-102,2.61295658095831e-97
"SLC19A3","Adiponectin_activated_signaling_pathway",0.68943383338791,8.30086178547642e-102,2.8543193361986e-97
"PHB","Glucose_6_phosphate_metabolic_process",0.689284079229545,9.55092819516605e-102,3.26204552768734e-97
"SDHB","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.689282359628393,9.56632047538849e-102,3.26204552768734e-97
"GCDH","Glucose_import_in_response_to_insulin_stimulus",0.688979147206883,1.27052188668551e-101,4.31441028186889e-97
"TEX261","Glucose_import_in_response_to_insulin_stimulus",0.688811403918094,1.48625811428093e-101,5.02614723640708e-97
"PISD","Neutral_lipid_metabolic_process",0.688750037593224,1.57398433865196e-101,5.30091044455488e-97
